date,Gansu,Qinghai,Guangxi,Guizhou,Chongqing,Beijing,Fujian,Anhui,Guangdong,Tibet,Xinjiang,Hainan,Ningxia,Shaanxi,Shanxi,Hubei,Hunan,Sichuan,Yunnan,Hebei,Henan,Liaoning,Shandong,Tianjin,Jiangxi,Jiangsu,Shanghai,Zhejiang,Jilin,Inner_Mongolia,Heilongjiang
2007,1.3796,1.3679,1.4390,1.4281,0.7505,1.4228,1.2800,1.0092,4.9870,0.1724,1.9637,0.7593,2.5861,0.8728,2.4258,0.7494,0.9073,1.3375,1.2290,1.2850,1.2776,1.0626,1.8548,1.1108,0.8526,1.4994,0.4130,3.5754,1.4584,1.1614,1.1629
2008,1.6865,1.7706,1.9809,1.7842,1.0096,1.8285,1.5042,1.3495,5.9374,0.3601,2.5570,1.0404,3.1849,1.0457,3.0530,1.0356,1.1989,1.6398,1.5493,1.5135,1.4471,1.3234,2.2305,1.3609,1.0294,1.9987,1.0308,4.2569,1.7095,1.5176,1.3168
2009,2.0633,2.1794,2.4122,2.2175,1.1852,2.3446,1.6726,1.6556,6.6339,1.0144,3.0809,1.3587,3.6407,1.2647,3.6766,1.2624,1.4568,1.8630,1.9895,1.8071,1.5699,1.4704,2.7095,1.4355,1.2160,2.4227,1.1159,4.7046,1.8400,1.8020,1.3636
2010,2.4992,2.5300,2.7443,2.6552,1.3277,3.1606,1.2440,1.9887,7.2776,3.0312,3.2357,1.4295,3.5639,1.4357,4.3272,1.4177,1.7177,2.1148,2.4842,2.1691,1.8460,1.5639,3.1225,1.4136,1.3993,2.8318,1.1779,5.1972,1.7028,2.1635,1.3195
2011,2.9099,2.8619,2.7325,3.2171,1.5214,4.3237,1.5017,2.4975,8.3429,4.5448,3.5308,1.7877,4.2257,1.6474,4.9844,1.8673,2.0901,2.5432,3.2245,2.4029,2.0873,1.8400,3.7042,1.5032,1.4597,3.4322,1.3718,5.9985,1.7826,2.5151,1.2287
2012,3.0751,3.0117,2.7085,3.7757,1.8547,5.8134,1.8028,2.8924,9.9413,7.1185,3.9353,1.7908,3.9751,1.9133,5.7044,2.0544,2.2836,2.7033,3.8209,2.4179,2.3450,2.0667,3.9379,1.7796,1.7564,3.9230,1.9383,5.6465,1.7351,2.6535,1.1700
2013,3.2206,2.9774,2.5877,4.2992,2.0239,7.5966,3.1228,3.4018,11.0921,9.0733,4.4839,1.7772,3.9650,2.1612,6.2301,2.0636,2.4202,2.9347,4.3479,2.4263,2.5796,2.1991,4.0462,1.8937,1.8592,4.2336,2.4619,5.7586,1.6976,2.6405,1.0172
2014,3.4400,2.9242,2.4852,4.6729,2.2571,9.4416,3.4975,3.7962,12.2104,11.0396,4.9938,1.7296,3.7417,2.2242,6.4577,1.9596,2.5171,3.1065,4.8289,2.3154,2.7206,2.1329,3.8571,2.0636,1.9470,4.4771,2.7849,5.7586,1.6235,2.4468,0.7292
2015,3.3497,2.5361,2.4431,5.0660,2.4777,11.8128,3.9176,4.2260,13.8040,12.9281,5.5647,1.8421,3.7112,2.1848,6.2783,1.9301,2.5455,3.1445,5.3407,2.0512,2.7727,1.8280,4.0286,2.1910,2.1209,4.6449,3.1178,5.3839,1.3999,2.2783,0.2778
2016,3.2967,1.5210,1.9129,5.2974,2.4104,12.9497,4.0283,4.5951,14.5879,12.9651,4.9842,2.0211,3.3922,2.2217,6.0272,1.7955,2.7749,2.8622,4.8426,1.8084,2.3326,1.3484,3.9276,1.9065,1.8508,4.6983,3.9315,4.9607,1.1958,1.9407,-0.4013