time_stamp,day,kitchen
7,1,31959.0
8,1,42840.0
9,1,41431.0
10,1,40392.0
11,1,39124.0
12,1,102872.0
13,1,142038.0
14,1,53574.0
15,1,70114.0
16,1,477208.0
17,1,320835.0
18,1,67207.0
19,1,65031.0
20,1,46829.0
21,1,128587.0
22,1,46952.0
23,1,43284.0
24,1,43122.0
1,2,43922.0
2,2,43061.0
3,2,43495.0
4,2,43184.0
5,2,146832.0
6,2,41170.0
7,2,41111.0
8,2,40988.0
9,2,41045.0
10,2,40627.0
11,2,40884.0
12,2,41004.0
13,2,49258.0
14,2,67576.0
15,2,78439.0
16,2,69722.0
17,2,
18,2,33864.0
19,2,42334.0
20,2,42086.0
21,2,41907.0
22,2,41830.0
23,2,40755.0
24,2,42535.0
1,3,42936.0
2,3,41627.0
3,3,42003.0
4,3,176023.0
5,3,63210.0
6,3,47169.0
7,3,39367.0
8,3,39744.0
9,3,39763.0
10,3,39814.0
11,3,39818.0
12,3,39779.0
13,3,39645.0
14,3,39635.0
15,3,63747.0
16,3,98924.0
17,3,47600.0
18,3,42369.0
19,3,42153.0
20,3,42178.0
21,3,42069.0
22,3,41848.0
23,3,41678.0
24,3,41590.0
1,4,41383.0
2,4,41419.0
3,4,41703.0
4,4,42323.0
5,4,149477.0
6,4,45290.0
7,4,40310.0
8,4,39809.0
9,4,40429.0
10,4,40539.0
11,4,44503.0
12,4,53925.0
13,4,56528.0
14,4,49038.0
15,4,61257.0
16,4,
17,4,12858.0
18,4,41546.0
19,4,41080.0
20,4,41145.0
21,4,40951.0
22,4,40901.0
23,4,40875.0
24,4,40799.0
1,5,40868.0
2,5,40902.0
3,5,41132.0
4,5,40554.0
5,5,42630.0
6,5,82040.0
7,5,116432.0
8,5,64977.0
9,5,39198.0
10,5,39166.0
11,5,38587.0
12,5,39020.0
13,5,69428.0
14,5,63686.0
15,5,50542.0
16,5,44687.0
17,5,42022.0
18,5,41635.0
19,5,41184.0
20,5,39990.0
21,5,40978.0
22,5,41025.0
23,5,41033.0
24,5,41038.0
1,6,41130.0
2,6,41012.0
3,6,41167.0
4,6,40445.0
5,6,39121.0
6,6,133943.0
7,6,41808.0
8,6,42315.0
9,6,64900.0
10,6,201993.0
11,6,95791.0
12,6,162054.0
13,6,46262.0
14,6,43983.0
15,6,50216.0
16,6,41010.0
17,6,41002.0
18,6,40332.0
19,6,41125.0
20,6,39896.0
21,6,50410.0
22,6,42103.0
23,6,41952.0
24,6,42202.0
1,7,39719.0
2,7,42579.0
3,7,42032.0
4,7,42027.0
5,7,42049.0
6,7,131481.0
7,7,70559.0
8,7,73927.0
9,7,61394.0
10,7,196862.0
11,7,159025.0
12,7,888975.0
13,7,56062.0
14,7,56119.0
15,7,43847.0
16,7,46122.0
17,7,71388.0
18,7,159376.0
19,7,43215.0
20,7,42216.0
21,7,42316.0
22,7,42202.0
23,7,41997.0
24,7,41902.0
1,8,42067.0
2,8,42400.0
3,8,42349.0
4,8,53978.0
5,8,142754.0
6,8,42692.0
7,8,39556.0
8,8,40878.0
9,8,80955.0
10,8,52611.0
11,8,39700.0
12,8,39380.0
13,8,49495.0
14,8,48591.0
15,8,66152.0
16,8,85739.0
17,8,82817.0
18,8,65529.0
19,8,53548.0
20,8,42657.0
21,8,42676.0
22,8,42116.0
23,8,42018.0
24,8,41892.0
1,9,42149.0
2,9,42478.0
3,9,42158.0
4,9,42183.0
5,9,153959.0
6,9,128835.0
7,9,39370.0
8,9,41151.0
9,9,41395.0
10,9,38594.0
11,9,39738.0
12,9,39430.0
13,9,38570.0
14,9,39697.0
15,9,39091.0
16,9,40590.0
17,9,61875.0
18,9,41101.0
19,9,41385.0
20,9,41039.0
21,9,40356.0
22,9,40221.0
23,9,40329.0
24,9,40543.0
1,10,39948.0
2,10,40334.0
3,10,40534.0
4,10,42037.0
5,10,134724.0
6,10,40918.0
7,10,38465.0
8,10,39498.0
9,10,38970.0
10,10,38979.0
11,10,39575.0
12,10,38500.0
13,10,39608.0
14,10,38717.0
15,10,39360.0
16,10,98711.0
17,10,72161.0
18,10,56430.0
19,10,59971.0
20,10,42373.0
21,10,41786.0
22,10,41854.0
23,10,41691.0
24,10,41803.0
1,11,41880.0
2,11,41738.0
3,11,41696.0
4,11,135588.0
5,11,75643.0
6,11,40450.0
7,11,41690.0
8,11,40252.0
9,11,40625.0
10,11,39605.0
11,11,40274.0
12,11,40585.0
13,11,39298.0
14,11,40509.0
15,11,40609.0
16,11,59963.0
17,11,125036.0
18,11,147939.0
19,11,47139.0
20,11,107881.0
21,11,196309.0
22,11,71094.0
23,11,64114.0
24,11,61137.0
1,12,61180.0
2,12,62464.0
3,12,66436.0
4,12,189043.0
5,12,71773.0
6,12,75683.0
7,12,70507.0
8,12,55415.0
9,12,40846.0
10,12,40297.0
11,12,40798.0
12,12,40940.0
13,12,40876.0
14,12,40885.0
15,12,41200.0
16,12,88756.0
17,12,93829.0
18,12,59317.0
19,12,42817.0
20,12,42660.0
21,12,41651.0
22,12,43890.0
23,12,43032.0
24,12,43041.0
1,13,42876.0
2,13,42786.0
3,13,43125.0
4,13,43026.0
5,13,137093.0
6,13,108329.0
7,13,65907.0
8,13,46125.0
9,13,127146.0
10,13,618111.0
11,13,219830.0
12,13,47848.0
13,13,97642.0
14,13,54088.0
15,13,55400.0
16,13,63894.0
17,13,50476.0
18,13,41123.0
19,13,41081.0
20,13,78244.0
21,13,61916.0
22,13,42106.0
23,13,42172.0
24,13,42138.0
1,14,42064.0
2,14,42215.0
3,14,42256.0
4,14,157337.0
5,14,47395.0
6,14,42227.0
7,14,40202.0
8,14,41130.0
9,14,40409.0
10,14,39753.0
11,14,135566.0
12,14,64311.0
13,14,50849.0
14,14,53948.0
15,14,46011.0
16,14,45128.0
17,14,41327.0
18,14,40987.0
19,14,41123.0
20,14,41336.0
21,14,40289.0
22,14,40655.0
23,14,40341.0
24,14,40303.0
1,15,40500.0
2,15,40354.0
3,15,40335.0
4,15,40230.0
5,15,151831.0
6,15,39320.0
7,15,39259.0
8,15,39477.0
9,15,38533.0
10,15,39614.0
11,15,39561.0
12,15,38815.0
13,15,39445.0
14,15,39244.0
15,15,38258.0
16,15,38639.0
17,15,39338.0
18,15,63245.0
19,15,70563.0
20,15,53082.0
21,15,44395.0
22,15,42263.0
23,15,42127.0
24,15,41982.0
1,16,42038.0
2,16,42580.0
3,16,152355.0
4,16,59792.0
5,16,41509.0
6,16,40889.0
7,16,40797.0
8,16,40904.0
9,16,40925.0
10,16,40792.0
11,16,40711.0
12,16,40912.0
13,16,40817.0
14,16,40909.0
15,16,21134.0
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
24,16,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
24,17,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
24,18,
1,19,
2,19,
3,19,
4,19,
5,19,
6,19,
7,19,
8,19,5472.0
9,19,41486.0
10,19,41120.0
11,19,40901.0
12,19,41006.0
13,19,40879.0
14,19,41118.0
15,19,41087.0
16,19,41003.0
17,19,41163.0
18,19,57133.0
19,19,86211.0
20,19,87834.0
21,19,41840.0
22,19,42107.0
23,19,41360.0
24,19,40505.0
1,20,41749.0
2,20,41603.0
3,20,41703.0
4,20,41825.0
5,20,41796.0
6,20,41610.0
7,20,42513.0
8,20,54456.0
9,20,129163.0
10,20,39548.0
11,20,39763.0
12,20,39612.0
13,20,39631.0
14,20,42906.0
15,20,43478.0
16,20,41619.0
17,20,41562.0
18,20,41485.0
19,20,64594.0
20,20,139249.0
21,20,41677.0
22,20,41599.0
23,20,41711.0
24,20,41728.0
1,21,41504.0
2,21,41565.0
3,21,41642.0
4,21,41446.0
5,21,41254.0
6,21,49260.0
7,21,230712.0
8,21,95273.0
9,21,70087.0
10,21,62651.0
11,21,39626.0
12,21,39712.0
13,21,39486.0
14,21,134426.0
15,21,38845.0
16,21,38378.0
17,21,41415.0
18,21,50052.0
19,21,42505.0
20,21,41961.0
21,21,41878.0
22,21,41475.0
23,21,41324.0
24,21,41663.0
1,22,41722.0
2,22,41802.0
3,22,122413.0
4,22,88873.0
5,22,58002.0
6,22,42576.0
7,22,39270.0
8,22,39138.0
9,22,38315.0
10,22,39087.0
11,22,38859.0
12,22,38869.0
13,22,38684.0
14,22,38615.0
15,22,40787.0
16,22,76686.0
17,22,78889.0
18,22,45094.0
19,22,42659.0
20,22,44048.0
21,22,43515.0
22,22,43481.0
23,22,43513.0
24,22,43689.0
1,23,43569.0
2,23,43479.0
3,23,44465.0
4,23,57127.0
5,23,145772.0
6,23,37954.0
7,23,40080.0
8,23,40091.0
9,23,38047.0
10,23,39038.0
11,23,38507.0
12,23,38631.0
13,23,38848.0
14,23,37868.0
15,23,38849.0
16,23,38790.0
17,23,37888.0
18,23,39832.0
19,23,40292.0
20,23,40168.0
21,23,39916.0
22,23,40031.0
23,23,40817.0
24,23,40310.0
1,24,38410.0
2,24,40660.0
3,24,40474.0
4,24,251313.0
5,24,59989.0
6,24,42269.0
7,24,41103.0
8,24,41247.0
9,24,41101.0
10,24,41064.0
11,24,41066.0
12,24,41060.0
13,24,41092.0
14,24,41097.0
15,24,41097.0
16,24,41196.0
17,24,41267.0
18,24,41220.0
19,24,40858.0
20,24,40989.0
21,24,40511.0
22,24,40739.0
23,24,40494.0
24,24,40564.0
1,25,40351.0
2,25,40655.0
3,25,40722.0
4,25,139189.0
5,25,55177.0
6,25,39096.0
7,25,39024.0
8,25,39092.0
9,25,38607.0
10,25,38893.0
11,25,38653.0
12,25,39100.0
13,25,39014.0
14,25,39121.0
15,25,31670.0
16,25,
17,25,
18,25,29339.0
19,25,39791.0
20,25,41192.0
21,25,40510.0
22,25,40400.0
23,25,40777.0
24,25,40697.0
1,26,40674.0
2,26,41288.0
3,26,40551.0
4,26,116336.0
5,26,71854.0
6,26,38967.0
7,26,38920.0
8,26,38424.0
9,26,38673.0
10,26,38868.0
11,26,38599.0
12,26,38363.0
13,26,38986.0
14,26,38598.0
15,26,38431.0
16,26,39790.0
17,26,40410.0
18,26,40496.0
19,26,40672.0
20,26,53666.0
21,26,43177.0
22,26,41246.0
23,26,40673.0
24,26,40611.0
1,27,40689.0
2,27,40758.0
3,27,40649.0
4,27,41931.0
5,27,150163.0
6,27,160331.0
7,27,43275.0
8,27,42207.0
9,27,38752.0
10,27,96783.0
11,27,41579.0
12,27,38702.0
13,27,38106.0
14,27,40429.0
15,27,40403.0
16,27,86214.0
17,27,111195.0
18,27,80700.0
19,27,48025.0
20,27,44424.0
21,27,44910.0
22,27,41763.0
23,27,41805.0
24,27,41736.0
1,28,41670.0
2,28,41660.0
3,28,41538.0
4,28,144794.0
5,28,174758.0
6,28,51965.0
7,28,101603.0
8,28,43393.0
9,28,41991.0
10,28,122461.0
11,28,52889.0
12,28,77663.0
13,28,64055.0
14,28,48106.0
15,28,41663.0
16,28,252727.0
17,28,352469.0
18,28,72266.0
19,28,66216.0
20,28,58582.0
21,28,57624.0
22,28,57745.0
23,28,59122.0
24,28,53431.0
1,29,57174.0
2,29,54816.0
3,29,52699.0
4,29,53115.0
5,29,208643.0
6,29,44096.0
7,29,51268.0
8,29,592835.0
9,29,124255.0
10,29,102472.0
11,29,53219.0
12,29,60184.0
13,29,42359.0
14,29,41862.0
15,29,40559.0
16,29,77719.0
17,29,712447.0
18,29,65781.0
19,29,42945.0
20,29,112045.0
21,29,41040.0
22,29,40988.0
23,29,40904.0
24,29,40925.0
1,30,40949.0
2,30,41259.0
3,30,41126.0
4,30,40822.0
5,30,172612.0
6,30,40704.0
7,30,40699.0
8,30,40679.0
9,30,40768.0
10,30,40716.0
11,30,40711.0
12,30,97255.0
13,30,40676.0
14,30,40754.0
15,30,65087.0
16,30,92403.0
17,30,328025.0
18,30,460430.0
19,30,44353.0
20,30,40475.0
21,30,40328.0
22,30,40177.0
23,30,39962.0
24,30,39960.0
1,31,41569.0
2,31,40556.0
3,31,39774.0
4,31,157445.0
5,31,59477.0
6,31,39288.0
7,31,38526.0
8,31,38517.0
9,31,38592.0
10,31,38870.0
11,31,39749.0
12,31,38575.0
13,31,38550.0
14,31,38528.0
15,31,38530.0
16,31,39655.0
17,31,39303.0
18,31,49156.0
19,31,40539.0
20,31,40885.0
21,31,40571.0
22,31,40645.0
23,31,40513.0
24,31,40621.0
1,32,40750.0
2,32,40851.0
3,32,40790.0
4,32,40869.0
5,32,145292.0
6,32,94993.0
7,32,41678.0
8,32,41012.0
9,32,95095.0
10,32,39009.0
11,32,38929.0
12,32,43917.0
13,32,92202.0
14,32,65513.0
15,32,51357.0
16,32,69005.0
17,32,63734.0
18,32,60560.0
19,32,51681.0
20,32,41721.0
21,32,41630.0
22,32,41647.0
23,32,41576.0
24,32,41619.0
1,33,41630.0
2,33,41783.0
3,33,41570.0
4,33,41544.0
5,33,170965.0
6,33,60053.0
7,33,41705.0
8,33,40288.0
9,33,43418.0
10,33,189940.0
11,33,40142.0
12,33,40115.0
13,33,40101.0
14,33,40257.0
15,33,40377.0
16,33,40602.0
17,33,44017.0
18,33,40726.0
19,33,40386.0
20,33,39987.0
21,33,39536.0
22,33,39944.0
23,33,39632.0
24,33,39536.0
1,34,39474.0
2,34,39635.0
3,34,39839.0
4,34,39406.0
5,34,182121.0
6,34,41113.0
7,34,41352.0
8,34,40390.0
9,34,41193.0
10,34,57620.0
11,34,91187.0
12,34,41869.0
13,34,41271.0
14,34,40150.0
15,34,39604.0
16,34,72752.0
17,34,57438.0
18,34,41550.0
19,34,41431.0
20,34,41248.0
21,34,41186.0
22,34,43451.0
23,34,44040.0
24,34,42713.0
1,35,42144.0
2,35,41946.0
3,35,41859.0
4,35,184563.0
5,35,88449.0
6,35,44257.0
7,35,42263.0
8,35,56825.0
9,35,135423.0
10,35,56699.0
11,35,69687.0
12,35,63149.0
13,35,61276.0
14,35,68618.0
15,35,54846.0
16,35,794116.0
17,35,50763.0
18,35,61564.0
19,35,41359.0
20,35,42288.0
21,35,40789.0
22,35,42017.0
23,35,41838.0
24,35,41990.0
1,36,41905.0
2,36,42107.0
3,36,41777.0
4,36,98613.0
5,36,113456.0
6,36,42485.0
7,36,15307.0
8,36,32506.0
9,36,64810.0
10,36,83039.0
11,36,61538.0
12,36,45281.0
13,36,49164.0
14,36,85578.0
15,36,88157.0
16,36,1581727.0
17,36,568400.0
18,36,70642.0
19,36,43501.0
20,36,42911.0
21,36,42360.0
22,36,42124.0
23,36,42014.0
24,36,42074.0
1,37,42409.0
2,37,42129.0
3,37,42019.0
4,37,140569.0
5,37,153103.0
6,37,67215.0
7,37,39301.0
8,37,39388.0
9,37,38894.0
10,37,38731.0
11,37,39116.0
12,37,20685.0
13,37,783.0
