time_stamp,day,washer
7,1,4.5
8,1,36.0
9,1,2.5
10,1,0.0
11,1,0.0
12,1,32.5
13,1,0.0
14,1,0.0
15,1,4.0
16,1,2.0
17,1,4.0
18,1,658.0
19,1,367.0
20,1,3.0
21,1,0.0
22,1,0.0
23,1,0.0
24,1,0.0
1,2,0.0
2,2,0.0
3,2,2.0
4,2,3.0
5,2,480.0
6,2,0.0
7,2,5.5
8,2,0.0
9,2,0.0
10,2,0.0
11,2,1.0
12,2,0.0
13,2,0.0
14,2,0.0
15,2,2.5
16,2,0.0
17,2,
18,2,6.0
19,2,20.0
20,2,0.0
21,2,0.0
22,2,0.0
23,2,0.0
24,2,110.0
1,3,2.5
2,3,4.0
3,3,0.0
4,3,7.5
5,3,0.0
6,3,2.5
7,3,2.0
8,3,0.0
9,3,0.0
10,3,0.0
11,3,0.0
12,3,0.0
13,3,0.0
14,3,0.0
15,3,1.0
16,3,0.0
17,3,3.0
18,3,3.0
19,3,0.0
20,3,2.0
21,3,5.0
22,3,4.0
23,3,0.0
24,3,0.0
1,4,0.0
2,4,6.0
3,4,1.0
4,4,2.0
5,4,5.5
6,4,0.0
7,4,4.0
8,4,0.0
9,4,5.5
10,4,0.0
11,4,2.5
12,4,0.0
13,4,0.0
14,4,0.0
15,4,0.0
16,4,
17,4,0.0
18,4,8.0
19,4,0.0
20,4,150.0
21,4,0.0
22,4,0.0
23,4,0.0
24,4,2.5
1,5,3.0
2,5,0.0
3,5,0.0
4,5,0.0
5,5,0.0
6,5,2.5
7,5,0.0
8,5,0.0
9,5,0.0
10,5,2.0
11,5,0.0
12,5,0.0
13,5,0.0
14,5,0.0
15,5,0.0
16,5,3.0
17,5,0.0
18,5,2.5
19,5,0.0
20,5,1.0
21,5,0.0
22,5,0.0
23,5,1.0
24,5,2.5
1,6,0.0
2,6,0.0
3,6,0.0
4,6,0.0
5,6,0.0
6,6,436.0
7,6,101.0
8,6,0.0
9,6,0.0
10,6,724.0
11,6,541.0
12,6,8380.0
13,6,146857.0
14,6,607908.0
15,6,1246186.0
16,6,0.0
17,6,0.0
18,6,0.0
19,6,0.0
20,6,0.0
21,6,613045.0
22,6,0.0
23,6,0.0
24,6,5.0
1,7,0.0
2,7,0.0
3,7,0.0
4,7,0.0
5,7,1.0
6,7,392411.5
7,7,1426957.0
8,7,0.0
9,7,0.0
10,7,102.5
11,7,102.5
12,7,2.5
13,7,0.0
14,7,454.0
15,7,271.0
16,7,15.0
17,7,0.0
18,7,6.0
19,7,0.0
20,7,2.0
21,7,1.0
22,7,2.0
23,7,2.0
24,7,0.0
1,8,1.0
2,8,158.0
3,8,68.0
4,8,9.0
5,8,495.5
6,8,100.0
7,8,0.0
8,8,0.0
9,8,1.0
10,8,0.0
11,8,0.0
12,8,0.0
13,8,0.0
14,8,3.0
15,8,0.0
16,8,0.0
17,8,0.0
18,8,276.0
19,8,791.0
20,8,65.0
21,8,0.0
22,8,0.0
23,8,1.0
24,8,0.0
1,9,0.0
2,9,0.0
3,9,0.0
4,9,10.0
5,9,571.0
6,9,0.0
7,9,272.0
8,9,170.5
9,9,225.0
10,9,0.0
11,9,0.0
12,9,0.0
13,9,0.0
14,9,0.0
15,9,0.0
16,9,0.0
17,9,0.0
18,9,0.0
19,9,0.0
20,9,4.0
21,9,0.0
22,9,0.0
23,9,2.5
24,9,0.0
1,10,0.0
2,10,0.0
3,10,2.5
4,10,7.0
5,10,1.0
6,10,5.0
7,10,0.0
8,10,0.0
9,10,0.0
10,10,0.0
11,10,1.0
12,10,0.0
13,10,0.0
14,10,0.0
15,10,0.0
16,10,0.0
17,10,0.0
18,10,0.0
19,10,3.0
20,10,3.0
21,10,4.0
22,10,0.0
23,10,2.0
24,10,5.0
1,11,0.0
2,11,9.0
3,11,2.0
4,11,5.0
5,11,3.0
6,11,1.0
7,11,0.0
8,11,0.0
9,11,2.0
10,11,1.0
11,11,0.0
12,11,33.0
13,11,0.0
14,11,0.0
15,11,4.0
16,11,2.0
17,11,0.0
18,11,1.0
19,11,9.0
20,11,8.0
21,11,38.0
22,11,40.0
23,11,29.0
24,11,27.0
1,12,36.5
2,12,40.0
3,12,37.0
4,12,25.5
5,12,12.0
6,12,307.5
7,12,7.0
8,12,2.0
9,12,0.0
10,12,0.0
11,12,0.0
12,12,0.0
13,12,0.0
14,12,0.0
15,12,0.0
16,12,33.0
17,12,5.0
18,12,49.0
19,12,218.0
20,12,7.0
21,12,676.0
22,12,606.0
23,12,4.0
24,12,21.0
1,13,16.0
2,13,0.0
3,13,16.0
4,13,9.0
5,13,0.0
6,13,233.0
7,13,1.0
8,13,0.0
9,13,145924.0
10,13,1010254.0
11,13,1088714.0
12,13,1857414.0
13,13,523967.5
14,13,70591.0
15,13,80589.0
16,13,3.0
17,13,2.5
18,13,0.0
19,13,0.0
20,13,181.0
21,13,966.0
22,13,154.0
23,13,0.0
24,13,0.0
1,14,4.0
2,14,1.0
3,14,0.0
4,14,561.5
5,14,0.0
6,14,3.0
7,14,0.0
8,14,0.0
9,14,0.0
10,14,0.0
11,14,0.0
12,14,0.0
13,14,0.0
14,14,519220.5
15,14,490624.5
16,14,915517.0
17,14,2.0
18,14,0.0
19,14,0.0
20,14,6.0
21,14,0.0
22,14,1.0
23,14,1.0
24,14,0.0
1,15,0.0
2,15,1.0
3,15,0.0
4,15,0.0
5,15,9.5
6,15,11.0
7,15,0.0
8,15,0.0
9,15,0.0
10,15,0.0
11,15,0.0
12,15,0.0
13,15,0.0
14,15,0.0
15,15,0.0
16,15,0.0
17,15,0.0
18,15,0.0
19,15,1.0
20,15,1.0
21,15,34.0
22,15,0.0
23,15,32.0
24,15,29.0
1,16,5.0
2,16,207.0
3,16,28.0
4,16,64.0
5,16,100.0
6,16,351.0
7,16,9.0
8,16,1.0
9,16,4.0
10,16,1.0
11,16,1.0
12,16,1.0
13,16,1.0
14,16,5.0
15,16,0.0
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
24,16,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
24,17,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
24,18,
1,19,
2,19,
3,19,
4,19,
5,19,
6,19,
7,19,
8,19,0.0
9,19,1.0
10,19,2.0
11,19,0.0
12,19,1.0
13,19,3.0
14,19,204.0
15,19,14.0
16,19,0.0
17,19,3.0
18,19,7.5
19,19,13.0
20,19,6.0
21,19,1.0
22,19,5.0
23,19,0.0
24,19,1.0
1,20,0.0
2,20,0.0
3,20,1.0
4,20,0.0
5,20,2.0
6,20,1.0
7,20,0.0
8,20,101044.0
9,20,635936.5
10,20,164288.5
11,20,0.0
12,20,0.0
13,20,4.0
14,20,0.0
15,20,0.0
16,20,0.0
17,20,0.0
18,20,0.0
19,20,0.0
20,20,1.0
21,20,0.0
22,20,0.0
23,20,5.0
24,20,3.0
1,21,0.0
2,21,0.0
3,21,0.0
4,21,0.0
5,21,356.0
6,21,790.5
7,21,3.0
8,21,130847.0
9,21,112094.0
10,21,1470114.0
11,21,12.5
12,21,0.0
13,21,0.0
14,21,33.0
15,21,0.0
16,21,242345.0
17,21,0.0
18,21,1447440.5
19,21,391586.5
20,21,200.0
21,21,0.0
22,21,3.0
23,21,0.0
24,21,0.0
1,22,0.0
2,22,2.5
3,22,4.0
4,22,2.0
5,22,122.0
6,22,608.5
7,22,0.0
8,22,0.0
9,22,0.0
10,22,2.0
11,22,0.0
12,22,0.0
13,22,0.0
14,22,0.0
15,22,0.0
16,22,0.0
17,22,0.0
18,22,116.0
19,22,314.0
20,22,50.0
21,22,4.0
22,22,1.0
23,22,2.5
24,22,0.0
1,23,0.0
2,23,0.0
3,23,0.0
4,23,15.5
5,23,481.0
6,23,0.0
7,23,242.0
8,23,137.0
9,23,0.0
10,23,0.0
11,23,0.0
12,23,0.0
13,23,0.0
14,23,0.0
15,23,0.0
16,23,3.0
17,23,0.0
18,23,0.0
19,23,0.0
20,23,0.0
21,23,0.0
22,23,0.0
23,23,0.0
24,23,0.0
1,24,0.0
2,24,0.0
3,24,0.0
4,24,32.5
5,24,2.0
6,24,0.0
7,24,0.0
8,24,0.0
9,24,0.0
10,24,0.0
11,24,0.0
12,24,0.0
13,24,0.0
14,24,0.0
15,24,0.0
16,24,0.0
17,24,2.5
18,24,0.0
19,24,0.0
20,24,0.0
21,24,2.5
22,24,0.0
23,24,4.0
24,24,13.0
1,25,0.0
2,25,0.0
3,25,0.0
4,25,17.0
5,25,0.0
6,25,0.0
7,25,0.0
8,25,0.0
9,25,0.0
10,25,0.0
11,25,0.0
12,25,4.0
13,25,2.0
14,25,0.0
15,25,1.0
16,25,
17,25,
18,25,0.0
19,25,0.0
20,25,5.0
21,25,4.0
22,25,0.0
23,25,0.0
24,25,0.0
1,26,2.0
2,26,3.0
3,26,0.0
4,26,0.0
5,26,1.0
6,26,3.0
7,26,0.0
8,26,0.0
9,26,0.0
10,26,0.0
11,26,0.0
12,26,0.0
13,26,0.0
14,26,0.0
15,26,0.0
16,26,63.5
17,26,68.0
18,26,4.0
19,26,7.0
20,26,900440.5
21,26,1085648.0
22,26,0.0
23,26,0.0
24,26,0.0
1,27,0.0
2,27,0.0
3,27,0.0
4,27,0.0
5,27,2.5
6,27,163554.0
7,27,1670852.5
8,27,164547.5
9,27,0.0
10,27,0.0
11,27,0.0
12,27,20.0
13,27,1.0
14,27,0.0
15,27,0.0
16,27,0.0
17,27,8079.0
18,27,1490956.0
19,27,619029.5
20,27,3.0
21,27,0.0
22,27,0.0
23,27,0.0
24,27,16.0
1,28,0.0
2,28,0.0
3,28,0.0
4,28,0.0
5,28,0.0
6,28,264325.0
7,28,916056.0
8,28,0.0
9,28,12.0
10,28,0.0
11,28,0.0
12,28,7.0
13,28,3.0
14,28,0.0
15,28,6.0
16,28,1.0
17,28,5.0
18,28,347.0
19,28,44.0
20,28,603.0
21,28,329.0
22,28,509.0
23,28,0.0
24,28,0.0
1,29,0.0
2,29,2.0
3,29,0.0
4,29,0.0
5,29,583.0
6,29,29.0
7,29,2.5
8,29,5.0
9,29,10.0
10,29,0.0
11,29,0.0
12,29,0.0
13,29,0.0
14,29,0.0
15,29,398.0
16,29,577.0
17,29,4.0
18,29,2.5
19,29,0.0
20,29,3.0
21,29,2.5
22,29,0.0
23,29,2.0
24,29,0.0
1,30,0.0
2,30,2.5
3,30,0.0
4,30,66.5
5,30,591.0
6,30,3.0
7,30,0.0
8,30,2.0
9,30,3.0
10,30,0.0
11,30,2.5
12,30,422.0
13,30,0.0
14,30,0.0
15,30,2.0
16,30,0.0
17,30,4.5
18,30,5.0
19,30,0.0
20,30,8.0
21,30,0.0
22,30,0.0
23,30,0.0
24,30,0.0
1,31,606.0
2,31,172.0
3,31,0.0
4,31,23.5
5,31,7.0
6,31,0.0
7,31,0.0
8,31,0.0
9,31,0.0
10,31,0.0
11,31,0.0
12,31,3.0
13,31,0.0
14,31,5.5
15,31,0.0
16,31,245.0
17,31,0.0
18,31,3.0
19,31,0.0
20,31,0.0
21,31,0.0
22,31,0.0
23,31,0.0
24,31,0.0
1,32,0.0
2,32,0.0
3,32,0.0
4,32,0.0
5,32,5.5
6,32,0.0
7,32,0.0
8,32,2.0
9,32,4.0
10,32,0.0
11,32,0.0
12,32,0.0
13,32,3.0
14,32,1.0
15,32,0.0
16,32,1.0
17,32,0.0
18,32,2.0
19,32,0.0
20,32,2.0
21,32,0.0
22,32,0.0
23,32,2.0
24,32,1.0
1,33,0.0
2,33,0.0
3,33,0.0
4,33,0.0
5,33,0.0
6,33,0.0
7,33,0.0
8,33,269.0
9,33,421243.5
10,33,369296.0
11,33,316.0
12,33,308.0
13,33,62.0
14,33,0.0
15,33,0.0
16,33,0.0
17,33,0.0
18,33,146.5
19,33,152.0
20,33,0.0
21,33,0.0
22,33,0.0
23,33,4.0
24,33,0.0
1,34,0.0
2,34,0.0
3,34,14.0
4,34,0.0
5,34,0.0
6,34,3.0
7,34,0.0
8,34,0.0
9,34,17.0
10,34,276.0
11,34,2.0
12,34,0.0
13,34,4.0
14,34,0.0
15,34,0.0
16,34,7.0
17,34,1.0
18,34,3.0
19,34,0.0
20,34,0.0
21,34,0.0
22,34,0.0
23,34,0.0
24,34,2.0
1,35,0.0
2,35,2.5
3,35,0.0
4,35,152954.0
5,35,128.0
6,35,955518.5
7,35,520366.0
8,35,582.5
9,35,431.0
10,35,233245.0
11,35,0.0
12,35,1179829.5
13,35,559270.0
14,35,1334950.0
15,35,443492.5
16,35,770842.5
17,35,109.5
18,35,1061.5
19,35,145.0
20,35,0.0
21,35,0.0
22,35,0.0
23,35,0.0
24,35,0.0
1,36,0.0
2,36,44.0
3,36,0.0
4,36,10.0
5,36,2.5
6,36,0.0
7,36,211.0
8,36,0.0
9,36,0.0
10,36,0.0
11,36,7.5
12,36,0.0
13,36,1.0
14,36,1.0
15,36,0.0
16,36,260.5
17,36,265.5
18,36,0.0
19,36,0.0
20,36,362.0
21,36,865.0
22,36,77.0
23,36,0.0
24,36,0.0
1,37,0.0
2,37,0.0
3,37,5.0
4,37,0.0
5,37,1002.0
6,37,111518.0
7,37,0.0
8,37,0.0
9,37,0.0
10,37,0.0
11,37,0.0
12,37,0.0
13,37,0.0
