province,2012,2013,2014
Amnat Charoen,49,52,55
Ang Thong,72,71,71
Bangkok,18,19,20
Bungkan,54,61,68
Buri Ram,66,69,72
Chachoengsao,59,58,58
Chai Nat,59,60,62
Chaiyaphum,62,63,65
Chanthaburi,70,72,74
Chiang Mai,33,35,38
Chiang Rai,30,31,32
Chon Buri,33,32,31
Chumphon,51,45,38
Kalasin,33,35,38
Kamphaeng Phet,56,58,60
Kanchanaburi,68,70,72
Khon Kaen,41,45,49
Krabi,19,18,18
Lampang,29,31,34
Lamphun,37,38,38
Loei,39,61,84
Lop Buri,64,63,61
Mae Hong Son,23,30,38
Maha Sarakham,55,56,57
Mukdahan,35,43,51
Nakhon Nayok,81,73,65
Nakhon Pathom,41,41,42
Nakhon Phanom,42,54,65
Nakhon Ratchasima,61,64,67
Nakhon Sawan,61,64,66
Nakhon Si Thammarat,20,22,23
Nan,21,25,29
Narathiwat,5,5,5
Nong Bua Lam Phu,37,55,73
Nong Khai,45,50,54
Nonthaburi,25,25,25
Pathum Thani,35,37,38
Pattani,5,7,9
Phangnga,34,34,34
Phattalung,34,29,24
Phayao,29,33,36
Phetchabun,48,52,56
Phetchaburi,62,64,65
Phichit,70,70,70
Phitsanulok,53,54,56
Phra Nakhon Si Ayutthaya,62,61,61
Phrae,32,31,29
Phuket,13,15,16
Prachin Buri,68,66,64
Prachuap Khiri Khan,53,52,52
Ranong,29,30,32
Ratchaburi,55,50,45
Rayong,28,28,28
Roi Et,62,69,76
Sa Kaeo,39,39,38
Sakon Nakhon,47,56,65
Samut Prakan,20,21,21
Samut Sakhon,25,27,28
Samut Songkhram,85,83,80
Saraburi,53,53,54
Satun,9,9,10
Si Sa Ket,89,93,98
Sing Buri,69,73,78
Songkhla,15,16,18
Sukhothai,35,40,45
Suphan Buri,63,66,69
Surat Thani,25,26,26
Surin,70,74,77
Tak,33,40,47
Trang,18,21,24
Trat,35,35,35
Ubon Ratchathani,46,51,57
Udon Thani,46,58,71
Uthai Thani,51,52,54
Uttaradit,69,48,28
Yala,5,6,6
Yasothon,45,50,54