StateCode,name,numdistricts,totalpersons,totalmale,totalfemale,totalruralpersons,totalruralmale,totalruralfemale,totalurbanpersons,totalurbanmale,totalurbanfemale,OSCpersons,OSCmale,OSCfemale,OSCruralpersons,OSCruralmale,OSCruralfemale,OSCurbanpersons,OSCurbanmale,OSCurbanfemale
0,India,640,366042439,192033305,174009134,263693626,138095092,125598534,102348813,53938213,48410600,110349514,55398592,54950922,84555196,41917445,42637751,25794318,13481147,12313171
1,Jammu & Kashmir,22,4066199,2148718,1917481,3138633,1653500,1485133,927566,495218,432348,1041007,492209,548798,857456,397589,459867,183551,94620,88931
2,Himachal Pradesh,12,1824669,959980,864689,1657187,867797,789390,167482,92183,75299,314058,160964,153094,287283,145048,142235,26775,15916,10859
3,Punjab,20,7534614,4165666,3368948,4834624,2665181,2169443,2699990,1500485,1199505,1985099,1090930,894169,1316563,711333,605230,668536,379597,288939
4,Chandigarh,1,279736,156008,123728,8323,4819,3504,271413,151189,120224,55387,32233,23154,2282,1422,860,53105,30811,22294
5,Uttarakhand,13,3194317,1680745,1513572,2305609,1198584,1107025,888708,482161,406547,737167,372352,364815,524201,255378,268823,212966,116974,95992
6,Haryana,21,7708587,4245473,3463114,5215773,2861100,2354673,2492814,1384373,1108441,1772422,908969,863453,1233547,614489,619058,538875,294480,244395
7,NCT of Delhi,9,4696722,2554900,2141822,129375,71876,57499,4567347,2483024,2084323,999242,550296,448946,28652,15621,13031,970590,534675,435915
8,Rajasthan,33,22996705,12179144,10817561,17805048,9410545,8394503,5191657,2768599,2423058,7705215,3472550,4232665,6280370,2769559,3510811,1424845,702991,721854
9,Uttar Pradesh,71,69286929,36647201,32639728,55109247,29096103,26013144,14177682,7551098,6626584,24240641,12396192,11844449,19144951,9687897,9457054,5095690,2708295,2387395
10,Bihar,38,36157606,19191283,16966323,32316964,17156298,15160666,3840642,2034985,1805657,13700655,6942596,6758059,12538620,6331242,6207378,1162035,611354,550681
11,Sikkim,4,176196,89648,86548,135332,69072,66260,40864,20576,20288,34757,18227,16530,27122,14475,12647,7635,3752,3883
12,Arunanchal Pradesh,16,478206,241576,236630,371863,188534,183329,106343,53042,53301,135080,64660,70420,116521,56059,60462,18559,8601,9958
13,Nagaland,11,675555,348522,327033,490336,253998,236338,185219,94524,90695,178586,92466,86120,147560,76387,71173,31026,16079,14947
14,Manipur,9,857453,438801,418652,630286,324214,306072,227167,114587,112580,194839,94113,100726,154635,74898,79737,40204,19215,20989
15,Mizoram,8,348557,176974,171583,177317,90913,86404,171240,86061,85179,75413,36698,38715,50246,23997,26249,25167,12701,12466
16,Tripura,4,1038085,528642,509443,815902,415665,400237,222183,112977,109206,258106,124217,133889,210088,100529,109559,48018,23688,24330
17,Meghalaya,7,1114948,564035,550913,920955,466753,454202,193993,97282,96711,317704,169797,147907,291242,155603,135639,26462,14194,12268
18,Assam,27,9773141,5019792,4753349,8664167,4450868,4213299,1108974,568924,540050,3444473,1787084,1657389,3184714,1651896,1532818,259759,135188,124571
19,West Bengal,19,25547697,13123693,12424004,18552732,9530796,9021936,6994965,3592897,3402068,8350035,4357432,3992603,6276804,3284066,2992738,2073231,1073366,999865
20,Jharkhand,24,10957961,5698648,5259313,8553264,4439820,4113444,2404697,1258828,1145869,3410184,1675215,1734969,2845769,1385283,1460486,564415,289932,274483
21,Odisha,30,11927052,6054346,5872706,10081736,5098098,4983638,1845316,956248,889068,4165330,2013837,2151493,3664446,1759789,1904657,500884,254048,246836
22,Chhattisgarh,18,8024920,4067606,3957314,6315365,3187203,3128162,1709555,880403,829152,2309594,1130128,1179466,1904284,915652,988632,405310,214476,190834
23,Madhya Pradesh,50,23482576,12293648,11188928,17604315,9182644,8421671,5878261,3111004,2767257,7034773,3579540,3455233,5558507,2789104,2769403,1476266,790436,685830
24,Gujarat,26,17475537,9301834,8173703,10595308,5539811,5055497,6880229,3762023,3118206,5547777,2693862,2853915,3526536,1637882,1888654,2021241,1055980,965261
25,Daman & Diu,2,62793,37559,25234,18164,9760,8404,44629,27799,16830,23398,16412,6986,4664,2561,2103,18734,13851,4883
26,Dadara & Nagar Havelli,1,104668,57266,47402,61966,32749,29217,42702,24517,18185,30811,17004,13807,18114,8923,9191,12697,8081,4616
27,Maharashtra,35,30723828,16312290,14411538,17653531,9365751,8287780,13070297,6946539,6123758,7221229,3679581,3541648,4346043,2157727,2188316,2875186,1521854,1353332
28,Andhra Pradesh,23,22580107,11641078,10939029,15111629,7825459,7286170,7468478,3815619,3652859,5749225,2744404,3004821,4159165,1969708,2189457,1590060,774696,815364
29,Karnataka,30,16610642,8579359,8031283,10500234,5449430,5050804,6110408,3129929,2980479,4727884,2360226,2367658,3225303,1596263,1629040,1502581,763963,738618
30,Goa,2,326067,169509,156558,121876,62736,59140,204191,106773,97418,61437,32309,29128,23200,11874,11326,38237,20435,17802
31,Lakshadweep,1,16674,8310,8364,3771,1767,2004,12903,6543,6360,2389,1170,1219,637,315,322,1752,855,897
32,Kerala,14,7886414,4014750,3871664,4151491,2112910,2038581,3734923,1901840,1833083,1090892,554321,536571,601470,304076,297394,489422,250245,239177
33,Tamil Nadu,32,17710040,9133406,8576634,9480137,4928018,4552119,8229903,4205388,4024515,3374817,1706620,1668197,1976719,997133,979586,1398098,709487,688611
34,Puducherry,4,301991,153870,148121,100896,51476,49420,201095,102394,98701,42163,20839,21324,15313,7526,7787,26850,13313,13537
35,Andaman & Nicobar Island,3,95247,49025,46222,60270,30844,29426,34977,18181,16796,17725,9139,8586,12169,6141,6028,5556,2998,2558
